"Anonymisation","4. SexeVerifieParLeDiplome","14. AnneeDiplomeVerifieParLeDiplome","15. ActiviteActuelle","27. EmploiLieuRegionEtranger","28. EmploiLieuPaysTerritoire","30. Option_EmploiMoisOccupation","32. EmploiContrat","35. EmploiCadre","36. EmploiTempsPleinPartiel","39. EmploiEntreprise","45. EmploiEntrepriseTaille","48. EmploiEntrepriseSecteurActivite","51. EmploiEntrepriseService","53. EmploiEntreprisePoste","54. EmploiResponsabilitesHierarchiques","55. EmploiResponsabiliteBudget","56. EmploiResponsabiliteEquipe","57. EmploiResponsabiliteProjet","61. Option_EmploiInternational","62. Option_EmploiInternationalPrecision","63. EmploiSalaireBrutAnnuelHorsPrimes","64. EmploiPrimesBrutOuiNon","65. EmploiPrimesBrutOuiMontant","66. EmploiAvantagesNatureOuiNon","67. EmploiAvantagesNatureOuiMontant","69. EmploiCommentTrouve","73. Option_EmploiMoyensRechercheEmploi","76. EmploiCritereChoix","78. EmploiAdequationNiveauQualification","79. EmploiAdequationSecteurDisciplinaire","80. EmploiSatisfaction","81. EmploiSatisfactionConditions","82. EmploiSatisfactionCollegues","83. EmploiSatisfactionRemuneration","84. EmploiSatisfactionAutonomie","85. EmploiSatisfactionLocalisation","86. EmploiChercheAutreEmploi","88. VolontariatType","89. VolontariatTypeAutre","113. TheseType","125. TheseSalaireBrutAnnuelHorsPrimes","126. ThesePrimesBrutOuiNon","127. ThesePrimesBrutOuiMontant","128. TheseAvantagesNatureOuiNon","129. TheseAvantagesNatureOuiMontant","130. TheseSalaireBrutAnnuelAvecPrimes","131. 1erEmploiDecritPrecedemment","134. 1erEmploiLapsPourTrouverApresDiplomeMois","135. Option_EcoleSatisfactionFormation","136. Option_EcoleAccompagnementProjetPro","151. Option_ScolariteCesure","152. Option_ScolariteMoisStage","153. Option_ScolariteMoisStageObligatoire","166. Tableaux_Compteur","167. Tableaux_Sexe","168. Tableaux_Promo","170. Effectifs_Promo","171. Effectifs_PromoSexe","175. Tableaux_BooleenFemmes","177. LieuTravail_FranceEtranger","178. Tableaux_BooleenCDI","190. Tableaux_Booleen1erEmploiMoinsDeuxMois","243. PROGRESSION","249. AnneeEnquete","264. Option_ScolariteFiliereFormation","265. Option_ScolariteSpecialisation","Domaine d'activite a un an","Domaine d'activite a 2 ans"
"17106","Femme",2017,"En volontariat (VIA, VIE, ...)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Volontariat International en Entreprise",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","Très satisfait(e)","Assez utile","Non","13","13","1","Femme","2017","118","69","100",NA,NA,NA,"Terminé",2018,"MAT","Chimie-Matériaux-Environnement","En volontariat (VIA, VIE, ...)",NA
"17106","Femme",2017,"En volontariat (VIA, VIE, ...)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VIE (Volontariat International en Entreprise)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","Satisfait(e)","Très utile","Non","13","13","1","Femme","2017","118","69","100",NA,NA,NA,"Terminé",2019,"MAT","Chimie-Matériaux-Environnement",NA,"En volontariat (VIA, VIE, ...)"
"17106","Femme",2017,"En activité professionnelle","Auvergne-Rhône-Alpes","France (y compris DOM-COM)",NA,"CDI","Oui","À temps plein","ECOAT","De 10 à 19 salarié(e)s","Industrie chimique","Production - Exploitation","Chef de projet","Non","Oui","Oui","Oui","Non",NA,36000,"Non",NA,"Non",NA,"Candidature spontanée","Réseau des anciens élèves;Site Internet spécialisé dans l'emploi;Sites Internet d'entreprises;Candidature spontanée","L'adéquation avec un projet professionnel;La politique de responsabilité sociétale de l'entreprise (RSE);Le contenu de la mission / du poste proposé;Le secteur d'activité de l'entreprise","Oui","Oui",NA,"Ni satisfait ni insatisfait","Très satisfait","Ni satisfait ni insatisfait","Satisfait","Satisfait","Oui",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non","0","Satisfait(e)","Très utile","Non","13","13","1","Femme","2017","118","69","100","France","100","100","Terminé",2021,"MAT","Chimie-Matériaux-Environnement",NA,NA
"20300","Femme",2020,"En activité professionnelle","Étranger","Belgique","13","Contrat d'expatriation",NA,"À temps plein",NA,"De 250 à 4 999 salarié(e)s","Recherche-développement scientifique","Recherche-développement, études scientifiques et techniques (autre qu'informatique)",NA,"Non","Non","Oui","Oui","Oui","Vous traitez des projets avec un pays étranger;Vous partez régulièrement exercer des missions à l'étranger",40000,"Oui","10","Oui",NA,"Stage de fin d'études (Année césure, année professionnalisante,...)","Stage de fin d'études (Année césure, année professionnalisante,...);Stage de fin d'études (Année césure, année professionnalisante,...);Site Internet spécialisé dans l'emploi;Site Internet spécialisé dans l'emploi","Les perspectives d'évolution au sein de l'entreprise;Le contenu de la mission / du poste proposé;Le secteur d'activité de l'entreprise;Le montant du salaire proposé","Oui","Oui","Très satisfait(e)","Très satisfait","Très satisfait","Satisfait","Très satisfait","Satisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui","0","Satisfait(e)","Utile","Non","13","12","1","Femme","2020","104","61","100","Étranger",NA,"100","Terminé",2022,"MAT","Chimie-Matériaux-Environnement",NA,"En activité professionnelle"
"17097","Homme",2017,"En thèse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thèse académique","18868","Non",NA,"Oui","350","19218",NA,NA,"Très satisfait(e)","Assez utile","Non","12","10","1","Homme","2017","118","49","0",NA,NA,NA,"Terminé",2018,"COF","Chimie-Santé","En thèse",NA
"17097","Homme",2017,"En thèse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thèse académique","19200","Non",NA,"Non",NA,"19200",NA,NA,"Très satisfait(e)","Assez utile","Non","12","12","1","Homme","2017","118","49","0",NA,NA,NA,"Terminé",2019,"COF","Chimie-Santé",NA,"En thèse"
"17097","Homme",2017,"En thèse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Autre","17000","Non",NA,"Non",NA,"17000",NA,NA,"Très satisfait(e)","Très utile","Non","12","12","1","Homme","2017","118","49","0",NA,NA,NA,"Terminé",2020,"COF","Chimie-Santé",NA,NA
"17097","Homme",2017,"En thèse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Autre","17000","Non",NA,"Non",NA,"17000",NA,NA,"Très satisfait(e)","Très utile","Non","12","12","1","Homme","2017","118","49","0",NA,NA,NA,"Terminé",2021,"COF","Chimie-Santé",NA,NA
"17097","Homme",2017,"En activité professionnelle","Étranger","Royaume-Uni","6","Autre",NA,"À temps plein","The university of Edinburgh","5 000 salarié(e)s ou plus","Enseignement - Recherche","Recherche-développement, études scientifiques et techniques (autre qu'informatique)","Postdoctoral research associate","Oui","Non","Oui","Oui","Non",NA,34300,"Non",NA,"Non",NA,"Candidature spontanée","Site Internet spécialisé dans l'emploi;Site Internet spécialisé dans l'emploi;Candidature spontanée","L'adéquation avec un projet professionnel;La notoriété de l'entreprise;Le contenu de la mission / du poste proposé","Oui","Oui",NA,"Très satisfait","Satisfait","Satisfait","Très satisfait","Très satisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non","0","Très satisfait(e)","Très utile","Non","10","10","1","Homme","2017","118","49","0","Étranger",NA,"100","Terminé",2022,"COF","Chimie-Santé",NA,NA
"17048","Femme",2017,"En activité professionnelle","Étranger","Royaume-Uni","5","Autre","Travail à l'étranger (Non concerné)","À temps plein","Sensient Flavors Ltd","De 50 à 249 salarié(e)s","Industrie agroalimentaire","Recherche-développement, études scientifiques et techniques (autre qu'informatique)","Flavour Intern","Non","Non","Non","Oui","Oui","Vous traitez des projets avec un pays étranger",19200,"Non",NA,"Non",NA,"Stage de fin d'études (Année césure, année professionnalisante,...)","Stage de fin d'études (Année césure, année professionnalisante,...);Autre","L'adéquation avec un projet professionnel","Oui","Oui","Satisfait(e)","Satisfait","Satisfait","Ni satisfait ni insatisfait","Satisfait","Satisfait","Oui",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui","0","Satisfait(e)","Assez utile","Non","14","13","1","Femme","2017","118","69","100","Étranger",NA,"100","Terminé",2018,"IPAN",NA,"En activité professionnelle",NA
"17048","Femme",2017,"En activité professionnelle","Étranger","Royaume-Uni",NA,"Autre","Travail à l'étranger (Non concerné)","À temps plein","Sensient Technologies","De 50 à 249 salarié(e)s","Industrie agroalimentaire","Recherche-développement, études scientifiques et techniques (autre qu'informatique)","Flavorist Trainee","Non","Non","Non","Oui","Non",NA,28000,"Non",NA,"Non",NA,"Autre","Site Internet spécialisé dans l'emploi;Sites Internet d'entreprises","L'adéquation avec un projet professionnel","Non","Oui","Insatisfait(e)","Ni satisfait ni insatisfait","Ni satisfait ni insatisfait","Insatisfait","Satisfait","Ni satisfait ni insatisfait","Oui",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non","0","Très satisfait(e)","Assez utile","Non","12","11","1","Femme","2017","118","69","100","Étranger",NA,"100","Terminé",2019,"IPAN","Chimie-Santé",NA,"En activité professionnelle"
"17048","Femme",2017,"En activité professionnelle","Étranger","Allemagne",NA,"Autre","Travail à l'étranger (Non concerné)","À temps plein","SYMRISE AG","5 000 salarié(e)s ou plus","Industrie agroalimentaire","Recherche-développement, études scientifiques et techniques (autre qu'informatique)","Flavourist Trainee","Non","Non","Non","Oui","Oui","Vous traitez des projets avec un pays étranger;Vous partez régulièrement exercer des missions à l'étranger",51000,"Oui","6000",NA,NA,"Autre","Site Internet spécialisé dans l'emploi;Sites Internet d'entreprises;Candidature spontanée;Démarché(e) par un ""chasseur de têtes""","L'adéquation avec un projet professionnel;La notoriété de l'entreprise;Les perspectives d'évolution au sein de l'entreprise;Le contenu de la mission / du poste proposé","Oui","Oui","Satisfait(e)","Satisfait","Très satisfait","Satisfait","Satisfait","Insatisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non","0","Très satisfait(e)","Assez utile","Non","13","10","1","Femme","2017","118","69","100","Étranger",NA,"100","Terminé",2020,"IPAN","Chimie-Santé",NA,NA
"17048","Femme",2017,"En activité professionnelle","Étranger","Allemagne",NA,"Autre","Travail à l'étranger (Non concerné)","À temps plein","SYMRISE AG","5 000 salarié(e)s ou plus","Industrie chimique","Recherche-développement, études scientifiques et techniques (autre qu'informatique)","Trainee Flavorist","Non","Non","Non","Oui","Oui","Vous traitez des projets avec un pays étranger",48000,"Oui","8000","Non",NA,"Démarché(e) par un ""chasseur de têtes""","Sites Internet d'entreprises;Candidature spontanée;Démarché(e) par un ""chasseur de têtes"";Autre","L'adéquation avec un projet professionnel;La notoriété de l'entreprise;Les perspectives d'évolution au sein de l'entreprise;Le contenu de la mission / du poste proposé","Oui","Oui","Satisfait(e)","Satisfait","Satisfait","Satisfait","Satisfait","Très insatisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non","0","Très satisfait(e)","Assez utile","Non","14","12","1","Femme","2017","118","69","100","Étranger",NA,"100","Terminé",2021,"IPAN","Chimie-Santé",NA,NA
"17045","Femme",2017,"En activité professionnelle","Pays de la Loire","France (y compris DOM-COM)","1","CDI","Oui","À temps plein","Dekra Industrial","5 000 salarié(e)s ou plus","Sociétés de conseil, Bureaux d'études, Ingénierie","Études - Conseil et expertise","Ingénieur HSE","Non","Non","Non","Oui","Non",NA,28800,"Oui","2400","Oui",NA,"Sites Internet d'entreprises","Site Internet spécialisé dans l'emploi;Sites Internet d'entreprises;Candidature spontanée","Le contenu de la mission / du poste proposé","Oui","Oui","Satisfait(e)","Satisfait","Ni satisfait ni insatisfait","Ni satisfait ni insatisfait","Très satisfait","Satisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui","3","Satisfait(e)","Peu utile","Oui","24","12","1","Femme","2017","118","69","100","France","100","0","Terminé",2018,"DGE","Chimie-Matériaux-Environnement","En activité professionnelle",NA
"17045","Femme",2017,"En activité professionnelle","Pays de la Loire","France (y compris DOM-COM)",NA,"CDI","Oui","À temps plein","DEKRA INDUSTRIAL","5 000 salarié(e)s ou plus","Sociétés de conseil, Bureaux d'études, Ingénierie","Études - Conseil et expertise","Ingénieur HSE","Non","Non","Non","Oui","Non",NA,28900,"Oui","2400","Oui","1400","Sites Internet d'entreprises","Site Internet spécialisé dans l'emploi;Sites Internet d'entreprises;Candidature spontanée","Le contenu de la mission / du poste proposé","Oui","Oui","Satisfait(e)","Ni satisfait ni insatisfait","Très satisfait","Satisfait","Satisfait","Très satisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui","2","Satisfait(e)","Peu utile","Oui","24","12","1","Femme","2017","118","69","100","France","100","0","Terminé",2019,"DGE","Chimie-Matériaux-Environnement",NA,"En activité professionnelle"
"17045","Femme",2017,"En activité professionnelle","Pays de la Loire","France (y compris DOM-COM)",NA,"CDI","Oui","À temps plein","Dekra Industrial","De 250 à 4 999 salarié(e)s","Société de conseil ou d'ingénierie, Bureaux d'études indépendants","Études - Conseil et expertise","Ingénieur HSE","Non","Non","Non","Oui","Non",NA,31200,"Non",NA,"Oui","1500","Sites Internet d'entreprises","Site Internet spécialisé dans l'emploi;Site Internet spécialisé dans l'emploi;Sites Internet d'entreprises;Candidature spontanée","L'adéquation avec un projet professionnel;Le lieu géographique;Le contenu de la mission / du poste proposé;Le montant du salaire proposé","Oui","Oui","Insatisfait(e)","Très satisfait","Ni satisfait ni insatisfait","Satisfait","Satisfait","Très satisfait","Oui",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui","2","Satisfait(e)","Peu utile","Oui","23","11","1","Femme","2017","118","69","100","France","100","0","Terminé",2020,"DGE","Chimie-Matériaux-Environnement",NA,NA
"17045","Femme",2017,"En activité professionnelle","Pays de la Loire","France (y compris DOM-COM)",NA,"CDI","Oui","À temps plein","DEKRA INDUSTRIAL","De 250 à 4 999 salarié(e)s","Société de conseil ou d'ingénierie, Bureaux d'études indépendants","Études - Conseil et expertise","Ingénieur HSE","Non","Non","Non","Oui","Non",NA,37700,"Non",NA,"Oui","2000","Sites Internet d'entreprises","Site Internet spécialisé dans l'emploi;Site Internet spécialisé dans l'emploi;Sites Internet d'entreprises;Candidature spontanée","L'adéquation avec un projet professionnel;Le lieu géographique;Le contenu de la mission / du poste proposé","Oui","Oui","Insatisfait(e)","Très insatisfait","Ni satisfait ni insatisfait","Satisfait","Satisfait","Très satisfait","Oui",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui","2","Satisfait(e)","Peu utile","Oui","23","11","1","Femme","2017","118","69","100","France","100","0","Terminé",2021,"DGE","Chimie-Matériaux-Environnement",NA,NA
"17045","Femme",2017,"En activité professionnelle","Pays de la Loire","France (y compris DOM-COM)","50","CDI","Oui","À temps plein","DEKRA INDUSTRIAL","De 250 à 4 999 salarié(e)s","Société de conseil ou d'ingénierie - Bureaux d'études indépendants","Études - Conseil et expertise","Consultante HSE","Non","Non","Non","Oui","Non",NA,38300,"Non",NA,"Oui","2000","Sites Internet d'entreprises","Site Internet spécialisé dans l'emploi;Sites Internet d'entreprises;Candidature spontanée","L'adéquation avec un projet professionnel;La politique de responsabilité sociétale de l'entreprise (RSE);Le lieu géographique;Le contenu de la mission / du poste proposé","Oui","Oui","Satisfait(e)","Satisfait","Satisfait","Ni satisfait ni insatisfait","Très satisfait","Très satisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui","2","Satisfait(e)","Utile","Oui","23","11","1","Femme","2017","118","69","100","France","100","0","Terminé",2022,"DGE","Chimie-Matériaux-Environnement",NA,NA
"17023","Homme",2017,"En activité professionnelle","Provence-Alpes-Côte dAzur","France (y compris DOM-COM)","6","CDI","Oui","À temps plein","Antea Group","De 250 à 4 999 salarié(e)s","Édition, audiovisuel et diffusion","Études - Conseil et expertise","Ingénieur d'études","Non","Non","Non","Non","Non",NA,30000,"Non",NA,NA,NA,"Stage de fin d'études (Année césure, année professionnalisante,...)","Stage de fin d'études (Année césure, année professionnalisante,...);Site Internet spécialisé dans l'emploi;Site Internet spécialisé dans l'emploi;Candidature spontanée","Autre","Oui","Non","Satisfait(e)","Ni satisfait ni insatisfait","Satisfait","Ni satisfait ni insatisfait","Satisfait","Très satisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui","0","Satisfait(e)","Peu utile","Non","13","12","1","Homme","2017","118","49","0","France","100","100","Terminé",2018,"DGE","Chimie-Matériaux-Environnement","En activité professionnelle",NA
"17023","Homme",2017,"En activité professionnelle","Provence-Alpes-Côte dAzur","France (y compris DOM-COM)",NA,"CDI","Oui","À temps plein","Antea Group","De 250 à 4 999 salarié(e)s","Sociétés de conseil, Bureaux d'études, Ingénierie","Production - Exploitation","Ingénieur d'études","Non","Non","Non","Non","Non",NA,31500,"Oui","2500",NA,NA,"Stage de fin d'études (Année césure, année professionnalisante,...)","Réseau des anciens élèves;Stage de fin d'études (Année césure, année professionnalisante,...)","Le lieu géographique","Oui","Non","Satisfait(e)","Satisfait","Très satisfait","Ni satisfait ni insatisfait","Satisfait","Très satisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui","0","Satisfait(e)","Assez utile","Non","10","9","1","Homme","2017","118","49","0","France","100","100","Terminé",2019,"DGE","Chimie-Matériaux-Environnement",NA,"En activité professionnelle"
"17023","Homme",2017,"En activité professionnelle","Provence-Alpes-Côte dAzur","France (y compris DOM-COM)",NA,"CDI","Oui","À temps plein","ANTEA group","De 250 à 4 999 salarié(e)s","Société de conseil ou d'ingénierie, Bureaux d'études indépendants","Production - Exploitation","Ingénieur de projets","Non","Non","Non","Oui","Non",NA,34000,"Oui","900","Non",NA,"Stage de fin d'études (Année césure, année professionnalisante,...)","Réseau des anciens élèves;Stage de fin d'études (Année césure, année professionnalisante,...);Candidature spontanée","Le lieu géographique;L'absence d'alternative","Oui","Non","Très satisfait(e)","Très satisfait","Satisfait","Ni satisfait ni insatisfait","Très satisfait","Très satisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui","0","Satisfait(e)","Peu utile","Non","13","12","1","Homme","2017","118","49","0","France","100","100","Terminé",2021,"DGE","Chimie-Matériaux-Environnement",NA,NA
"17034","Femme",2017,"En activité professionnelle","Centre-Val de Loire","France (y compris DOM-COM)","6","CDI","Oui","À temps plein","ORGAPHARM","De 50 à 249 salarié(e)s","Industrie chimique","Recherche-développement, études scientifiques et techniques (autre qu'informatique)","INgénieur R&D","Non","Non","Non","Oui","Non",NA,29300,"Oui","3000","Non",NA,"Apprentissage (embauche dans l'entreprise d'accueil du contrat)","Apprentissage (embauche dans l'entreprise d'accueil du contrat)","L'adéquation avec un projet professionnel","Oui","Oui",NA,"Ni satisfait ni insatisfait","Satisfait","Satisfait","Insatisfait","Ni satisfait ni insatisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui","0","Satisfait(e)","Peu utile","Non",NA,NA,"1","Femme","2017","118","69","100","France","100","100","Terminé",2018,"Erasmus (étranger)","Chimie-Santé","En activité professionnelle",NA
"17034","Femme",2017,"En activité professionnelle","Centre-Val de Loire","France (y compris DOM-COM)",NA,"CDI","Oui","À temps plein","ORGAPHARM","De 250 à 4 999 salarié(e)s","Industrie chimique","Recherche-développement, études scientifiques et techniques (autre qu'informatique)","Ingénieur Chimiste","Non","Non","Non","Oui","Non",NA,34440,"Oui","3000","Non",NA,"Apprentissage (embauche dans l'entreprise d'accueil du contrat)","Apprentissage (embauche dans l'entreprise d'accueil du contrat);Candidature spontanée;Autre","Le contenu de la mission / du poste proposé","Oui","Oui","Satisfait(e)","Ni satisfait ni insatisfait","Satisfait","Satisfait","Satisfait","Ni satisfait ni insatisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui","0","Satisfait(e)","Assez utile","Non","18",NA,"1","Femme","2017","118","69","100","France","100","100","Terminé",2019,"Erasmus (étranger)","Chimie-Santé",NA,"En activité professionnelle"
"17034","Femme",2017,"En activité professionnelle","Centre-Val de Loire","France (y compris DOM-COM)",NA,"CDI","Oui","À temps plein","ORGAPHARM","De 50 à 249 salarié(e)s","Industrie chimique","Recherche-développement, études scientifiques et techniques (autre qu'informatique)","Ingénieur Chimiste","Non","Non","Non","Oui","Non",NA,37700,"Non",NA,"Non",NA,"Apprentissage (embauche dans l'entreprise d'accueil du contrat)","Apprentissage (embauche dans l'entreprise d'accueil du contrat);Site Internet spécialisé dans l'emploi;Candidature spontanée","L'adéquation avec un projet professionnel;Le lieu géographique;Le contenu de la mission / du poste proposé;Le secteur d'activité de l'entreprise","Oui","Oui",NA,"Ni satisfait ni insatisfait","Satisfait","Satisfait","Satisfait","Satisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui","0","Satisfait(e)","Assez utile","Non","18",NA,"1","Femme","2017","118","69","100","France","100","100","Terminé",2020,"COF","Chimie-Santé",NA,NA
"17034","Femme",2017,"En activité professionnelle","Centre-Val de Loire","France (y compris DOM-COM)",NA,"CDI","Oui","À temps plein","ORGAPHARM","De 50 à 249 salarié(e)s","Industrie chimique","Recherche-développement, études scientifiques et techniques (autre qu'informatique)","Ingénieur R&D","Non","Non","Non","Oui","Non",NA,43500,"Oui","300","Non",NA,"Apprentissage (embauche dans l'entreprise d'accueil du contrat)","Apprentissage (embauche dans l'entreprise d'accueil du contrat)","L'adéquation avec un projet professionnel;Le lieu géographique;Le contenu de la mission / du poste proposé;Le secteur d'activité de l'entreprise","Oui","Oui","Très satisfait(e)","Ni satisfait ni insatisfait","Très satisfait","Très satisfait","Satisfait","Satisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui","0","Satisfait(e)","Assez utile","Non",NA,NA,"1","Femme","2017","118","69","100","France","100","100","Terminé",2021,"Erasmus (étranger)","Chimie-Santé",NA,NA
"17058","Femme",2017,"En poursuite d'études (hors thèse)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Très satisfait(e)","Assez utile","Non","10","10","1","Femme","2017","118","69","100",NA,NA,NA,"Terminé",2018,"IPAN",NA,"En poursuite d'études (hors thèse)",NA
"17058","Femme",2017,"En poursuite d'études (hors thèse)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Très satisfait(e)","Assez utile","Non","10","10","1","Femme","2017","118","69","100",NA,NA,NA,"Terminé",2019,"IPAN","Chimie-Santé",NA,"En poursuite d'études (hors thèse)"
"17058","Femme",2017,"En activité professionnelle","Auvergne-Rhône-Alpes","France (y compris DOM-COM)",NA,"CDI","Oui","À temps plein","Bayer Healthcare SAS","5 000 salarié(e)s ou plus","Industrie pharmaceutique","Marketing","Chef de marque Junior","Oui","Oui","Non","Oui","Oui","Vous traitez des projets avec un pays étranger",41000,"Oui","2000","Non",NA,"Site Internet spécialisé dans l'emploi","Site Internet spécialisé dans l'emploi;Site Internet spécialisé dans l'emploi;Sites Internet d'entreprises;Candidature spontanée","Le lieu géographique;Le contenu de la mission / du poste proposé;Le secteur d'activité de l'entreprise;Le montant du salaire proposé","Oui","Oui","Très satisfait(e)","Très satisfait","Très satisfait","Satisfait","Satisfait","Très satisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui","1","Satisfait(e)","Assez utile","Non","10","9","1","Femme","2017","118","69","100","France","100","100","Terminé",2020,"IPAN","Chimie-Santé",NA,NA
"17058","Femme",2017,"En activité professionnelle","Auvergne-Rhône-Alpes","France (y compris DOM-COM)","36","CDI","Oui","À temps plein","Bayer HealthCare SAS","De 250 à 4 999 salarié(e)s","Industrie pharmaceutique","Marketing","Chef de marque junior","Oui","Oui","Non","Oui","Oui","Vous traitez des projets avec un pays étranger",42000,"Oui","10000","Non",NA,"Site Internet spécialisé dans l'emploi","Forum de votre école;Site Internet spécialisé dans l'emploi;Site Internet spécialisé dans l'emploi;Sites Internet d'entreprises","Le lieu géographique;Le contenu de la mission / du poste proposé;Le secteur d'activité de l'entreprise;Le montant du salaire proposé","Oui","Oui","Satisfait(e)","Très satisfait","Satisfait","Satisfait","Satisfait","Très satisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui","1","Très satisfait(e)","Très utile","Non","10","10","1","Femme","2017","118","69","100","France","100","100","Terminé",2022,"IPAN","Chimie-Santé",NA,NA
"17098","Homme",2017,"En thèse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thèse académique","1769","Non",NA,"Non",NA,"21228",NA,"0","Satisfait(e)","Assez utile","Non","11","10","1","Homme","2017","118","49","0",NA,NA,NA,"Terminé",2018,"CBS","Chimie-Santé","En thèse",NA
"17098","Homme",2017,"En thèse",NA,NA,NA,NA,NA,NA,"Université Paul SABATIER",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vous traitez des projets avec un pays étranger",NA,NA,NA,NA,NA,NA,"Stage de fin d'études (Année césure, année professionnalisante,...);Candidature spontanée",NA,NA,NA,NA,"Satisfait","Très satisfait","Insatisfait","Très satisfait","Très satisfait","Non",NA,NA,"Thèse académique","1769","Non",NA,"Non",NA,"1769",NA,NA,"Très satisfait(e)","Très utile","Non","12","11","1","Homme","2017","118","49","0",NA,NA,NA,"Terminé",2019,"COF","Chimie-Santé",NA,"En thèse"
"17098","Homme",2017,"En thèse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thèse académique","1789","Non",NA,"Non",NA,"1789",NA,NA,NA,NA,NA,NA,NA,"1","Homme","2017","118","49","0",NA,NA,NA,"En cours",2020,NA,NA,NA,NA
"17098","Homme",2017,"En recherche d'emploi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","Très satisfait(e)","Utile","Non","14","11","1","Homme","2017","118","49","0",NA,NA,NA,"Terminé",2022,"CBS","Chimie-Santé",NA,NA
